"category","type","estimate","lower","upper","x","pcrf","pden","ppop","parea","bound_range","group"
"games","poolhallsbowlingalleys",15.823229045721849,-802.013459960473,1291.476060658454,31,0.5,0.5,0.5,0.5,2093.4895206189267,"poolhallsbowlingalleys-31"
"games","poolhallsbowlingalleys",20.5396521114763,-1027.8940173204383,1137.6556995705316,32,0.5,0.5,0.5,0.5,2165.5497168909696,"poolhallsbowlingalleys-32"
"games","poolhallsbowlingalleys",18.330692043776768,-788.0287596082297,1153.7520179770306,33,0.5,0.5,0.5,0.5,1941.7807775852602,"poolhallsbowlingalleys-33"
"games","poolhallsbowlingalleys",24.899265069687246,-805.0054107680133,1239.7290607899474,34,0.5,0.5,0.5,0.5,2044.7344715579607,"poolhallsbowlingalleys-34"
"games","poolhallsbowlingalleys",18.284881075956207,-735.0113509310887,1333.0575179033372,35,0.5,0.5,0.5,0.5,2068.0688688344258,"poolhallsbowlingalleys-35"
"games","poolhallsbowlingalleys",18.152027349723696,-748.5900935890661,1117.6831898376622,36,0.5,0.5,0.5,0.5,1866.2732834267283,"poolhallsbowlingalleys-36"
"games","poolhallsbowlingalleys",21.66282557008475,-868.1962183709006,1267.0095122082014,37,0.5,0.5,0.5,0.5,2135.2057305791022,"poolhallsbowlingalleys-37"
"games","poolhallsbowlingalleys",19.34042328797201,-858.2419133732251,1278.3166989058896,38,0.5,0.5,0.5,0.5,2136.5586122791146,"poolhallsbowlingalleys-38"
"games","poolhallsbowlingalleys",15.524561180463852,-811.9616187274268,1249.8749421936893,39,0.5,0.5,0.5,0.5,2061.836560921116,"poolhallsbowlingalleys-39"
"games","poolhallsbowlingalleys",18.05751250109076,-695.5767930256565,1308.8824404320437,40,0.5,0.5,0.5,0.5,2004.4592334577,"poolhallsbowlingalleys-40"
"games","poolhallsbowlingalleys",24.85385651314042,-662.2815827392523,1139.8448794972128,41,0.5,0.5,0.5,0.5,1802.1264622364652,"poolhallsbowlingalleys-41"
"games","poolhallsbowlingalleys",14.197330878639,-719.9357930392405,1068.7253099360094,42,0.5,0.5,0.5,0.5,1788.6611029752498,"poolhallsbowlingalleys-42"
"games","poolhallsbowlingalleys",15.959045486305609,-693.8748029625925,1665.1528229321818,43,0.5,0.5,0.5,0.5,2359.0276258947742,"poolhallsbowlingalleys-43"
"games","poolhallsbowlingalleys",15.908533252764713,-946.6723012750684,1152.3193105806033,44,0.5,0.5,0.5,0.5,2098.9916118556716,"poolhallsbowlingalleys-44"
"games","poolhallsbowlingalleys",19.577846891592515,-667.4740582885823,1090.6641710918464,45,0.5,0.5,0.5,0.5,1758.1382293804286,"poolhallsbowlingalleys-45"
"games","poolhallsbowlingalleys",21.53540304733916,-620.7071395383053,1253.9882160599298,46,0.5,0.5,0.5,0.5,1874.695355598235,"poolhallsbowlingalleys-46"
"games","poolhallsbowlingalleys",24.778840395770093,-741.6736900955234,1078.9040710596773,47,0.5,0.5,0.5,0.5,1820.5777611552007,"poolhallsbowlingalleys-47"
"games","poolhallsbowlingalleys",17.648268466785694,-923.7567691690402,1102.8483262314646,48,0.5,0.5,0.5,0.5,2026.605095400505,"poolhallsbowlingalleys-48"
"games","poolhallsbowlingalleys",19.75655335174411,-674.9119491880601,1407.7626480712045,49,0.5,0.5,0.5,0.5,2082.6745972592644,"poolhallsbowlingalleys-49"
"games","poolhallsbowlingalleys",25.629466942901797,-654.7997551582243,1228.564182319299,50,0.5,0.5,0.5,0.5,1883.3639374775235,"poolhallsbowlingalleys-50"
"exhibits","museums",-105.31442140607899,-1591.6057705339158,132.2126105881253,1,0.5,0.5,0.5,0.5,1723.818381122041,"museums-1"
"exhibits","museums",-151.6659176916463,-2090.5262486650627,143.36617083834088,2,0.5,0.5,0.5,0.5,2233.8924195034037,"museums-2"
"exhibits","museums",-198.29412043375433,-2660.928613402466,75.58582830783472,3,0.5,0.5,0.5,0.5,2736.5144417103006,"museums-3"
"exhibits","museums",-211.06121799461943,-2489.1406657547136,94.89659637663338,4,0.5,0.5,0.5,0.5,2584.037262131347,"museums-4"
"exhibits","museums",-258.4773743390019,-2952.10488051446,72.04639770406156,5,0.5,0.5,0.5,0.5,3024.151278218522,"museums-5"
"exhibits","museums",-269.9170141634537,-3245.958699847613,53.75672450943812,6,0.5,0.5,0.5,0.5,3299.7154243570512,"museums-6"
"exhibits","museums",-285.28517556389204,-3476.894815557848,51.25073120575527,7,0.5,0.5,0.5,0.5,3528.145546763603,"museums-7"
"exhibits","museums",-315.26169147592645,-3684.526071987595,48.12541149770937,8,0.5,0.5,0.5,0.5,3732.6514834853047,"museums-8"
"exhibits","museums",-339.5600375756819,-3403.5003099424043,49.208230433847845,9,0.5,0.5,0.5,0.5,3452.708540376252,"museums-9"
"exhibits","museums",-344.20585662539816,-4140.5454042249785,73.4270639383198,10,0.5,0.5,0.5,0.5,4213.972468163298,"museums-10"
"exhibits","museums",-360.1693069552829,-3940.724432161436,49.01694131201792,11,0.5,0.5,0.5,0.5,3989.741373473454,"museums-11"
"exhibits","museums",-391.895078120114,-4355.804733801614,41.02656585631669,12,0.5,0.5,0.5,0.5,4396.831299657931,"museums-12"
"exhibits","museums",-401.30437313065045,-4116.704698918933,66.38396535652251,13,0.5,0.5,0.5,0.5,4183.088664275456,"museums-13"
"exhibits","museums",-443.3552652111117,-4197.240248840647,22.236858110867693,14,0.5,0.5,0.5,0.5,4219.4771069515145,"museums-14"
"exhibits","museums",-409.9556502716494,-4956.688892656708,24.47787489114366,15,0.5,0.5,0.5,0.5,4981.166767547852,"museums-15"
